"ppntID","triadtype","presentation","base1","base2","base3","fuel1","fuel2","fuel3","fueltype1","fueltype2","fueltype3","choice_base","choice_fuel","choice_fueltype","drawtime","responsetime"
"4358630","dominated_decoy","[0,2,1]",0.7183494861918597,0.2816505138081403,0.5183494861918596,0.2816505138081403,0.7183494861918597,0.08165051380814031,"color","height","height",0.2816505138081403,0.7183494861918597,"height",1575668313662,1575668315269
"4358630","random","[2,1,0]",0.1671004267740508,0.9848545587759778,0.32490117919421624,0.8522688478627383,0.009664529266010469,0.05753683339019222,"height","color","height",0.1671004267740508,0.8522688478627383,"height",1575668316778,1575668318853
"4358630","dominated_decoy","[2,0,1]",0.6131144716287954,0.3868855283712046,0.45311447162879537,0.3868855283712046,0.6131144716287954,0.2268855283712046,"color","height","height",0.3868855283712046,0.6131144716287954,"height",1575668320358,1575668322157
"4358630","dominated_decoy","[0,2,1]",0.7964191934090961,0.203580806590904,0.7164191934090961,0.203580806590904,0.7964191934090961,0.123580806590904,"height","color","height",0.203580806590904,0.7964191934090961,"color",1575668323660,1575668325317
"4358630","dominated_decoy","[1,2,0]",0.7870181048824106,0.2129818951175894,0.5870181048824106,0.2129818951175894,0.7870181048824106,0.012981895117589376,"height","color","height",0.2129818951175894,0.7870181048824106,"color",1575668326830,1575668330428
"4358630","dominated_decoy","[0,2,1]",0.27645942846649807,0.7235405715335019,0.23645942846649806,0.7235405715335019,0.27645942846649807,0.6835405715335019,"color","color","height",0.23645942846649806,0.6835405715335019,"height",1575668331941,1575668334732
"4841389","dominated_decoy","[0,2,1]",0.31982842951880974,0.6801715704811903,0.23982842951880973,0.6801715704811903,0.31982842951880974,0.6001715704811903,"height","height","color",0.31982842951880974,0.6801715704811903,"height",1575668330567,1575668333855
"4358630","dominated_decoy","[2,0,1]",0.6776167527031567,0.32238324729684326,0.5576167527031567,0.32238324729684326,0.6776167527031567,0.20238324729684326,"color","color","height",0.32238324729684326,0.6776167527031567,"color",1575668336237,1575668338164
"4841389","dominated_decoy","[1,0,2]",0.30018884895199227,0.6998111510480077,0.10018884895199226,0.6998111510480077,0.30018884895199227,0.4998111510480077,"color","height","color",0.30018884895199227,0.6998111510480077,"color",1575668335361,1575668338249
"4358630","dominated_decoy","[1,2,0]",0.38214220713343244,0.6178577928665676,0.22214220713343244,0.6178577928665676,0.38214220713343244,0.4578577928665676,"height","color","height",0.38214220713343244,0.6178577928665676,"height",1575668339672,1575668341444
"4841389","dominated_decoy","[2,0,1]",0.7853750479331247,0.21462495206687524,0.5853750479331248,0.21462495206687524,0.7853750479331247,0.014624952066875224,"height","color","color",0.21462495206687524,0.7853750479331247,"color",1575668339753,1575668341820
"4358630","compromise","[0,2,1]",0.2214777790409866,0.7785222209590135,0.34485074486411704,0.7785222209590135,0.2214777790409866,0.5,"height","height","height",0.2214777790409866,0.7785222209590135,"height",1575668342949,1575668344652
"4841389","random","[2,0,1]",0.2162633426181566,0.9729655475338841,0.8568208826613726,0.6515394159762629,0.3639527320520419,0.6271252654030275,"color","color","height",0.8568208826613726,0.6271252654030275,"height",1575668343322,1575668345135
"4358630","dominated_decoy","[2,0,1]",0.3723211155212591,0.6276788844787409,0.33232111552125915,0.6276788844787409,0.3723211155212591,0.5876788844787408,"height","height","color",0.3723211155212591,0.6276788844787409,"height",1575668346153,1575668347316
"4841389","dominated_decoy","[1,0,2]",0.29776870101221853,0.7022312989877815,0.09776870101221852,0.7022312989877815,0.29776870101221853,0.5022312989877815,"height","height","color",0.29776870101221853,0.7022312989877815,"height",1575668346637,1575668348092
"4358630","compromise","[2,0,1]",0.7727728777409617,0.22722712225903835,0.3511899143378288,0.22722712225903835,0.7727728777409617,0.5,"height","color","height",0.22722712225903835,0.7727728777409617,"color",1575668348826,1575668351100
"4841389","dominated_decoy","[1,0,2]",0.35266870854954546,0.6473312914504545,0.23266870854954547,0.6473312914504545,0.35266870854954546,0.5273312914504545,"color","height","color",0.35266870854954546,0.6473312914504545,"color",1575668349594,1575668351331
"4358630","random","[0,2,1]",0.8299326284218271,0.4257568096274831,0.31448723018867275,0.28959150706724657,0.2587169243194516,0.1412618211116632,"height","color","color",0.8299326284218271,0.28959150706724657,"height",1575668352613,1575668355100
"4841389","compromise","[2,1,0]",0.7221165096415298,0.2778834903584701,0.40132851228932825,0.2778834903584701,0.7221165096415298,0.5,"height","color","color",0.2778834903584701,0.7221165096415298,"color",1575668352833,1575668356168
"4358630","dominated_decoy","[2,0,1]",0.6780126953997166,0.32198730460028335,0.5980126953997167,0.32198730460028335,0.6780126953997166,0.24198730460028334,"height","height","color",0.32198730460028335,0.6780126953997166,"height",1575668356602,1575668358108
"4358630","dominated_decoy","[1,2,0]",0.2491036288262336,0.7508963711737664,0.1691036288262336,0.7508963711737664,0.2491036288262336,0.6708963711737664,"color","color","color",0.2491036288262336,0.7508963711737664,"color",1575668359610,1575668360756
"4841389","compromise","[2,0,1]",0.6064737839303158,0.3935262160696842,0.47732666667112084,0.3935262160696842,0.6064737839303158,0.5,"color","height","height",0.47732666667112084,0.5,"height",1575668357671,1575668359421
"4358630","dominated_decoy","[0,1,2]",0.681898577811398,0.3181014221886021,0.48189857781139794,0.3181014221886021,0.681898577811398,0.11810142218860209,"height","height","color",0.3181014221886021,0.681898577811398,"height",1575668362262,1575668363852
"4841389","dominated_decoy","[1,2,0]",0.20339475245066369,0.7966052475493364,0.16339475245066368,0.7966052475493364,0.20339475245066369,0.7566052475493363,"height","height","color",0.20339475245066369,0.7966052475493364,"height",1575668360929,1575668363861
