"","ppntID","triadtype","presentation","base1","base2","base3","fuel1","fuel2","fuel3","fueltype1","fueltype2","fueltype3","choice_base","choice_fuel","choice_fueltype","drawtime","responsetime"
"52",1,"wedell",NA,0.67,0.3,0.25,15,33,33,"height","height","height",NA,NA,"height",NA,NA
"53",1,"wedell",NA,0.67,0.3,0.3,15,33,30,"height","height","height",NA,NA,"height",NA,NA
"54",1,"wedell",NA,0.67,0.3,0.25,15,33,30,"height","height","height",NA,NA,"height",NA,NA
"55",1,"wedell",NA,0.67,0.4,0.67,15,25,13,"height","height","height",NA,NA,"height",NA,NA
"56",1,"wedell",NA,0.67,0.4,0.62,15,25,15,"height","height","height",NA,NA,"height",NA,NA
"57",1,"wedell",NA,0.67,0.4,0.62,15,25,13,"height","height","height",NA,NA,"height",NA,NA
"58",1,"wedell",NA,0.67,0.4,0.35,15,25,25,"height","height","height",NA,NA,"height",NA,NA
"59",1,"wedell",NA,0.67,0.4,0.4,15,25,20,"height","height","height",NA,NA,"height",NA,NA
"60",1,"wedell",NA,0.67,0.4,0.35,15,25,20,"height","height","height",NA,NA,"height",NA,NA
"61",1,"wedell",NA,0.67,0.5,0.67,15,20,13,"height","height","height",NA,NA,"height",NA,NA
"62",1,"wedell",NA,0.67,0.5,0.62,15,20,15,"height","height","height",NA,NA,"height",NA,NA
"63",1,"wedell",NA,0.67,0.5,0.62,15,20,13,"height","height","height",NA,NA,"height",NA,NA
"64",1,"wedell",NA,0.67,0.5,0.45,15,20,20,"height","height","height",NA,NA,"height",NA,NA
"65",1,"wedell",NA,0.67,0.5,0.5,15,20,18,"height","height","height",NA,NA,"height",NA,NA
"66",1,"wedell",NA,0.67,0.5,0.45,15,20,18,"height","height","height",NA,NA,"height",NA,NA
"67",1,"wedell",NA,0.67,0.67,0.67,15,15,13,"height","height","height",NA,NA,"height",NA,NA
"68",1,"wedell",NA,0.67,0.67,0.62,15,15,15,"height","height","height",NA,NA,"height",NA,NA
"69",1,"wedell",NA,0.67,0.67,0.62,15,15,13,"height","height","height",NA,NA,"height",NA,NA
"70",1,"wedell",NA,0.67,0.67,0.62,15,15,15,"height","height","height",NA,NA,"height",NA,NA
"71",1,"wedell",NA,0.67,0.67,0.67,15,15,13,"height","height","height",NA,NA,"height",NA,NA
"72",1,"wedell",NA,0.67,0.67,0.62,15,15,13,"height","height","height",NA,NA,"height",NA,NA
"73",1,"wedell",NA,0.83,0.3,0.83,12,33,10,"height","height","height",NA,NA,"height",NA,NA
"74",1,"wedell",NA,0.83,0.3,0.78,12,33,12,"height","height","height",NA,NA,"height",NA,NA
"75",1,"wedell",NA,0.83,0.3,0.78,12,33,10,"height","height","height",NA,NA,"height",NA,NA
"76",1,"wedell",NA,0.83,0.3,0.25,12,33,33,"height","height","height",NA,NA,"height",NA,NA
"77",1,"wedell",NA,0.83,0.3,0.3,12,33,30,"height","height","height",NA,NA,"height",NA,NA
"78",1,"wedell",NA,0.83,0.3,0.25,12,33,30,"height","height","height",NA,NA,"height",NA,NA
"79",1,"wedell",NA,0.83,0.4,0.83,12,25,10,"height","height","height",NA,NA,"height",NA,NA
"80",1,"wedell",NA,0.83,0.4,0.78,12,25,12,"height","height","height",NA,NA,"height",NA,NA
"81",1,"wedell",NA,0.83,0.4,0.78,12,25,10,"height","height","height",NA,NA,"height",NA,NA
"82",1,"wedell",NA,0.83,0.4,0.35,12,25,25,"height","height","height",NA,NA,"height",NA,NA
"83",1,"wedell",NA,0.83,0.4,0.4,12,25,20,"height","height","height",NA,NA,"height",NA,NA
"84",1,"wedell",NA,0.83,0.4,0.35,12,25,20,"height","height","height",NA,NA,"height",NA,NA
