"ppntID","base1","base2","fuel1","fuel2","fueltype1","fueltype2","choice_base","choice_fuel","choice_fueltype","questiontype","drawtime","responsetime"
"5211409",0.3823681742613924,0.6823681742613924,0.5494069800216883,0.7963523344463024,"color","height",0.6823681742613924,0.7963523344463024,"height","Which rocket has the best launch stage?",1595713155180,1595713158037
"5211409",0.3735693508124727,0.6135693508124727,0.36307363613295096,0.9871163877672187,"color","height",0.6135693508124727,0.9871163877672187,"height","Which rocket has the best launch stage?",1595713159538,1595713161734
"5211409",0.0990324623790308,0.3090324623790308,0.2988646093189613,0.7082973033636277,"color","color",0.3090324623790308,0.7082973033636277,"color","Which rocket has the best launch stage?",1595713163236,1595713165379
"5211409",0.8029106306080975,0.5329106306080975,0.2077250012371199,0.40983231043663704,"color","color",0.8029106306080975,0.2077250012371199,"color","Which rocket has the best launch stage?",1595713166881,1595713168205
"5211409",0.5829656573167442,0.6129656573167442,0.9876824572215295,0.2918086661687611,"height","height",0.6129656573167442,0.2918086661687611,"height","Which rocket has the best launch stage?",1595713169707,1595713171398
"5211409",0.7557006428118593,0.6057006428118593,0.32343215923943625,0.6513485980745837,"height","height",0.7557006428118593,0.32343215923943625,"height","Which rocket has the best launch stage?",1595713172900,1595713175438
"5211409",0.595956549605178,0.655956549605178,0.08214471470598639,0.49293356249068276,"color","color",0.655956549605178,0.49293356249068276,"color","Which rocket has the best launch stage?",1595713176940,1595713178586
"5211409",0.19781921693134172,0.31781921693134174,0.6413173291743737,0.21501914189029203,"height","height",0.19781921693134172,0.6413173291743737,"height","Which rocket has the best launch stage?",1595713180089,1595713182799
"5211409",0.49149984030482696,0.6714998403048269,0.4628949835385687,0.8020920805039178,"color","height",0.6714998403048269,0.8020920805039178,"height","Which rocket has the best launch stage?",1595713185800,1595713187078
"5211409",0.606261700900349,0.696261700900349,0.6144586176680911,0.9414674117918278,"height","color",0.696261700900349,0.9414674117918278,"color","Which rocket has the best launch stage?",1595713188579,1595713191760
"5211409",0.10672229781928477,0.6146666199611779,0.45963457940784086,0.15963457940784087,"height","color",0.10672229781928477,0.45963457940784086,"height","Which rocket has the best orbital stage?",1595713196159,1595713199940
"5211409",0.7669748596245174,0.5129164115909726,0.45999745577481443,0.5499974557748144,"height","color",0.7669748596245174,0.45999745577481443,"height","Which rocket has the best orbital stage?",1595713201442,1595713203139
"5211409",0.9088882963816367,0.035505351292638876,0.2698438113741999,0.4198438113741999,"color","height",0.035505351292638876,0.4198438113741999,"height","Which rocket has the best orbital stage?",1595713206141,1595713208214
"5211409",0.3696741797181766,0.6471688418344299,0.9712101652103222,0.9112101652103223,"color","height",0.3696741797181766,0.9712101652103222,"color","Which rocket has the best orbital stage?",1595713209716,1595713212113
"5211409",0.4034839564311674,0.11234071820425973,0.5341265136803406,0.23412651368034063,"color","color",0.4034839564311674,0.5341265136803406,"color","Which rocket has the best orbital stage?",1595713213615,1595713215822
"5211409",0.7749158924998742,0.1406291272666904,0.28071499586901505,0.13071499586901505,"height","height",0.7749158924998742,0.28071499586901505,"height","Which rocket has the best orbital stage?",1595713217323,1595713220351
"5211409",0.38063995863859246,0.48590565608821534,0.19870342205034866,0.4387034220503486,"height","color",0.38063995863859246,0.19870342205034866,"height","Which rocket has the best orbital stage?",1595713221852,1595713226453
"5211409",0.5493240927385239,0.16007502498152704,0.4602357633985138,0.22023576339851383,"height","height",0.5493240927385239,0.4602357633985138,"height","Which rocket has the best orbital stage?",1595713229455,1595713231230
"5211409",0.3193292244813597,0.13973973416466134,0.7780812556268178,0.5680812556268179,"height","height",0.3193292244813597,0.7780812556268178,"height","Which rocket has the best orbital stage?",1595713232731,1595713236730
"5211409",0.6646331440875817,0.4023088732070905,0.731830760905105,0.761830760905105,"height","height",0.6646331440875817,0.731830760905105,"height","Which rocket has the best orbital stage?",1595713238231,1595713239721
"5724705",0.3496902336356411,0.2896902336356411,0.9156773723771965,0.7640036886391053,"color","color",0.3496902336356411,0.9156773723771965,"color","Which rocket has the best launch stage?",1595713915525,1595713919022
"5211409",0.06954067288918586,0.5262407756027114,0.7379259083037777,0.43792590830377764,"height","height",0.5262407756027114,0.43792590830377764,"height","Which rocket has the best orbital stage?",1595713242722,1595713244543
"5724705",0.4397601141191785,0.40976011411917845,0.2138251990419906,0.47316000170596206,"color","height",0.40976011411917845,0.47316000170596206,"height","Which rocket has the best launch stage?",1595713920538,1595713922773
"5211409",0.6873152027537623,0.40421315683656567,0.3759420473710406,0.10594204737104057,"height","color",0.6873152027537623,0.3759420473710406,"height","Which rocket has the best orbital stage?",1595713247544,1595713250061
"5724705",0.49512690100127216,0.6451269010012721,0.8431142326193748,0.3161757468756372,"height","height",0.6451269010012721,0.3161757468756372,"height","Which rocket has the best launch stage?",1595713925777,1595713927365
"5211409",0.7897139664092068,0.8225576494122524,0.7128030691246451,0.8928030691246451,"color","color",0.8225576494122524,0.8928030691246451,"color","Which rocket has the best orbital stage?",1595713251562,1595713253592
"5724705",0.5863041787779925,0.8263041787779924,0.871403883217722,0.7669682705399603,"height","height",0.8263041787779924,0.7669682705399603,"height","Which rocket has the best launch stage?",1595713928873,1595713932389
"5211409",0.5035089791056493,0.9646411560523964,0.6821188484640653,0.7721188484640653,"color","color",0.9646411560523964,0.7721188484640653,"color","Which rocket has the best orbital stage?",1595713255093,1595713256874
"5724705",0.03693838994402138,0.3069383899440214,0.9020555929082648,0.3819968449742073,"height","height",0.3069383899440214,0.3819968449742073,"height","Which rocket has the best launch stage?",1595713933892,1595713935373
