"ppntID","triadtype","presentation","base1","base2","base3","fuel1","fuel2","fuel3","fueltype1","fueltype2","fueltype3","choice_base","choice_fuel","choice_fueltype","drawtime","responsetime"
"5211409","compromise","[2,1,0]",0.26132561192606746,0.7386743880739326,0.3860690729550677,0.7386743880739326,0.26132561192606746,0.5,"height","color","height",0.7386743880739326,0.26132561192606746,"color",1595713461168,1595713465073
"5211409","dominated_decoy","[1,0,2]",0.3270542571614412,0.6729457428385588,0.1270542571614412,0.6729457428385588,0.3270542571614412,0.4729457428385588,"color","height","color",0.3270542571614412,0.6729457428385588,"color",1595713466576,1595713470811
"5211409","dominated_decoy","[0,1,2]",0.7428725105177938,0.2571274894822062,0.5828725105177938,0.2571274894822062,0.7428725105177938,0.0971274894822062,"height","color","color",0.2571274894822062,0.7428725105177938,"color",1595713472313,1595713479122
"5211409","dominated_decoy","[1,0,2]",0.7809640565622126,0.21903594343778743,0.7009640565622126,0.21903594343778743,0.7809640565622126,0.1390359434377874,"color","color","color",0.7809640565622126,0.21903594343778743,"color",1595713480624,1595713485583
"5211409","dominated_decoy","[2,0,1]",0.23805004849061154,0.7619499515093885,0.19805004849061153,0.7619499515093885,0.23805004849061154,0.7219499515093885,"height","height","height",0.7619499515093885,0.23805004849061154,"height",1595713487085,1595713490816
"5211409","random","[1,0,2]",0.7995452006497579,0.08416837793408138,0.22226727147698577,0.727293722613386,0.3687811088336608,0.6028504155988019,"height","color","color",0.7995452006497579,0.727293722613386,"height",1595713492318,1595713495385
"5724705","dominated_decoy","[2,0,1]",0.7538702725106181,0.24612972748938194,0.6738702725106182,0.24612972748938194,0.7538702725106181,0.16612972748938193,"color","height","height",0.6738702725106182,0.16612972748938193,"height",1595714172762,1595714175642
"5211409","dominated_decoy","[0,2,1]",0.7720942821897616,0.22790571781023844,0.6920942821897617,0.22790571781023844,0.7720942821897616,0.14790571781023842,"color","color","height",0.7720942821897616,0.22790571781023844,"color",1595713496887,1595713502451
"5724705","dominated_decoy","[1,2,0]",0.627407602969074,0.37259239703092595,0.467407602969074,0.37259239703092595,0.627407602969074,0.21259239703092594,"color","color","color",0.37259239703092595,0.627407602969074,"color",1595714177144,1595714178714
"5724705","dominated_decoy","[0,1,2]",0.30874933242384667,0.6912506675761534,0.10874933242384666,0.6912506675761534,0.30874933242384667,0.4912506675761534,"height","height","color",0.30874933242384667,0.6912506675761534,"height",1595714180224,1595714181858
"5211409","dominated_decoy","[1,0,2]",0.39388253306008775,0.6061174669399123,0.23388253306008774,0.6061174669399123,0.39388253306008775,0.4461174669399123,"color","color","color",0.6061174669399123,0.39388253306008775,"color",1595713503953,1595713506809
"5211409","dominated_decoy","[1,0,2]",0.6131475544415448,0.38685244555845527,0.5331475544415448,0.38685244555845527,0.6131475544415448,0.30685244555845526,"color","height","color",0.6131475544415448,0.38685244555845527,"color",1595713508311,1595713513565
"5724705","dominated_decoy","[1,0,2]",0.32387925543462703,0.676120744565373,0.28387925543462705,0.676120744565373,0.32387925543462703,0.6361207445653729,"color","height","color",0.676120744565373,0.32387925543462703,"height",1595714183364,1595714191730
"5724705","random","[1,2,0]",0.42959577444397934,0.6220675787114709,0.9574019497602728,0.8160715739092312,0.8905899966739961,0.338890929713376,"height","color","color",0.6220675787114709,0.8905899966739961,"color",1595714193232,1595714194577
