"ppntID","base1","base2","fuel1","fuel2","fueltype1","fueltype2","valuegap","whichtrial","sliderfeature","drawtime","responsetime"
"5211409",0.819552216145337,0.9655532291413902,0.672769699791953,0.57,"color","height",-0.0010045578093357266,1,"fuel",1595712869249,1595712887425
"6441040",0.4044374590308355,0.5030649938235294,0.9350534003295192,0.76,"color","height",0.004158774018469036,1,"fuel",1595712887413,1595712897931
"6441040",0.23497534260139985,0.23,0.04424020352470448,0.04474571161043639,"color","color",-0.00010384330957272266,2,"base",1595712899438,1595712910297
"5592116",0.8590006349268353,0.7243090543393369,0.252639301475865,0.3,"height","color",0.0002753959265608674,1,"fuel",1595712904740,1595712919476
"6441040",0.5371467805129708,0.5055119023835906,0.2220444193067701,0.24,"height","color",0.002052411610558025,3,"fuel",1595712911805,1595712926212
"6441040",0.24671966141506307,0.46760268516771086,0.90901514027379,0.48,"height","height",0.00017738125098565316,4,"fuel",1595712927716,1595712933841
"5211409",0.8835057944262947,0.1,0.11199615903170801,0.9552639769589826,"color","height",-0.0034228577621045614,2,"base",1595712888930,1595712941407
"6441040",0.14193153439792194,0.05385792609309581,0.17977369415591893,1,"color","height",0.028342369837163504,7,"fuel",1595712937750,1595712945043
"5211409",0.998970194724192,0.6755256778616214,0.28247966053436646,0.42,"height","height",0.0015320232122412736,3,"fuel",1595712942909,1595712954247
"5592116",0.0013760315840321002,0.01,0.20640838676095563,0.26104789522845273,"color","height",0.0023264544928923393,2,"base",1595712920979,1595712954244
"6441040",0.866476298554171,0.8662708555109291,0.6284243174135671,0.8,"height","color",0.14850190793480422,8,"fuel",1595712946548,1595712963225
"5211409",0.951513703955083,0.9186384980329618,0.3449574924694587,0.36,"height","color",0.0024780779251939444,4,"fuel",1595712955749,1595712964005
"6441040",0.866476298554171,0.8662708555109291,0.6284243174135671,0.17,"height","color",-0.39724873103708114,8,"fuel",1595712964730,1595712974516
"5211409",0.5304704160257723,0.55,0.6819289299043869,0.7634459632375397,"height","height",0.05815215663425699,7,"base",1595712968234,1595712977711
"6441040",0.866476298554171,0.8662708555109291,0.6284243174135671,0.4,"height","color",-0.19800643426956743,8,"fuel",1595712976025,1595712980725
"5211409",0.5304704160257723,0.36,0.6819289299043869,0.7634459632375397,"height","height",-0.08690257638087556,7,"base",1595712979215,1595712985012
"6441040",0.866476298554171,0.8662708555109291,0.6284243174135671,0.62,"height","color",-0.007426846057163039,8,"fuel",1595712982235,1595712985513
"5211409",0.5304704160257723,0.53,0.6819289299043869,0.7634459632375397,"height","height",0.04288323736950622,7,"base",1595712986514,1595712990195
"5592116",0.7215465349178585,0.917883986239387,0.6307516670285471,0.47,"height","height",-0.023711206205599134,3,"fuel",1595712955746,1595712993596
"5592116",0.7215465349178585,0.917883986239387,0.6307516670285471,0.47,"height","height",-0.023711206205599134,3,"fuel",1595712955746,1595712993860
"5211409",0.07811300229266993,0.894947137852641,0.3075058056815032,0.67,"height","height",0.5755943806570609,8,"fuel",1595712991697,1595713001437
"6441040",0.10433892889001495,0.9571586670837577,0.2095822775678331,0.21,"height","height",0.17913572973183162,9,"fuel",1595712987019,1595713001195
"5211409",0.07811300229266993,0.894947137852641,0.3075058056815032,1,"height","height",0.8709269361484324,8,"fuel",1595713002939,1595713006691
"5592116",0.2698778878703765,0.22189471892909363,0.5733499486890905,0.34,"color","height",-0.07929026872690864,7,"fuel",1595712999315,1595713010947
"5592116",0.2698778878703765,0.22189471892909363,0.5733499486890905,0.34,"color","height",-0.07929026872690864,6,,1595712999315,1595713011227
"6441040",0.10433892889001495,0.9571586670837577,0.2095822775678331,0.2,"height","height",0.16956414306099404,9,"fuel",1595713002708,1595713011693
"5211409",0.07811300229266993,0.894947137852641,0.3075058056815032,0.12,"height","height",0.08337345483810835,8,"fuel",1595713008193,1595713012378
"5724705",0.7085142960674673,0.36921103308561976,0.2961994023039931,0.56,"height","height",-0.0031033324910711424,1,"fuel",1595713672496,1595713688648
"5211409",0.07811300229266993,0.894947137852641,0.3075058056815032,0.5,"height","height",0.4234533672221119,8,"fuel",1595713013880,1595713016453
"6441040",0.10433892889001495,0.9571586670837577,0.2095822775678331,0.03,"height","height",0.00684716965675522,9,"fuel",1595713013197,1595713017327
"5211409",0.07811300229266993,0.894947137852641,0.3075058056815032,0.01,"height","height",-0.015070730325682164,8,"fuel",1595713017954,1595713020062
"5211409",0.02891026020816967,0.9026673300674775,0.510078740951736,0.2,"color","height",0.16578695688592526,9,"fuel",1595713021564,1595713025979
"6441040",0.539811062477956,0.9945272431211813,0.268552806409569,0.25,"height","height",0.10366403502090907,10,"fuel",1595713018838,1595713027402
"5724705",0.8408985192905032,0.7871139158620457,0.03772426778131166,0.04,"height","color",-0.00023772428414157998,2,"fuel",1595713690154,1595713706095
"5211409",0.02891026020816967,0.9026673300674775,0.510078740951736,0.01,"color","height",-0.005719835826895484,9,"fuel",1595713027481,1595713031180
"6441040",0.539811062477956,0.9945272431211813,0.268552806409569,0.01,"height","height",-0.13502250332817445,10,"fuel",1595713028906,1595713031676
"8280988",0.6453041077788573,0.69,0.013232941122906405,0.5071278994490509,"color","color",0.34137897935523787,1,"base",1595713011231,1595713035415
"6441040",0.539811062477956,0.9945272431211813,0.268552806409569,0.09,"height","height",-0.05546032387847995,10,"fuel",1595713033179,1595713037155
"5211409",0.12281842611281468,0.5334179713808962,0.8316886186863632,0.8,"height","color",0.32458768994171694,10,"fuel",1595713032681,1595713040322
