"ppntID","base1","base2","fuel1","fuel2","fueltype1","fueltype2","valuegap","whichtrial","sliderfeature","drawtime","responsetime"
"6041466",0.3717033848337117,0.385797942334825,0.5370583144057186,0.51,"height","height",-0.0028694427269325973,1,"fuel",1585077366064,1585077372355
"6041466",0.4004395743045328,0.7596266009683046,0.4252871095341646,0.22,"height","color",-0.0031839368860390738,2,"fuel",1585077373870,1585077385579
"6041466",0.5848062133529781,0.9937642163689939,0.12226065620263338,0.07,"color","height",-0.0019352962500827353,3,"fuel",1585077387082,1585077395068
"6041466",0.3478344590352562,0.25,0.20099475955557655,0.2839565439182705,"height","color",0.0010762325206322698,4,"base",1585077396577,1585077404062
"6041466",0.03803251943362218,0.6423319699220014,0.7038154387930089,0.1,"color","height",0.0374653226386217,7,"fuel",1585077409504,1585077418183
"6041466",0.9428053457028054,0.91,0.7886932099749824,0.8377047697134756,"color","color",0.018727165955344294,8,"base",1585077419688,1585077427378
"6041466",0.6238925007470937,0.8377810587876935,0.6780760674066044,0.49,"height","color",-0.012533854585091486,9,"fuel",1585077428882,1585077438114
"6041466",0.5763113429861539,0.7590139796363495,0.9222560292644479,0.59,"height","height",-0.08368836281702541,10,"fuel",1585077439619,1585077443619
"6041466",0.5763113429861539,0.7590139796363495,0.9222560292644479,0.7,"height","height",-0.0001968250570270058,10,"fuel",1585077445124,1585077447681
"6041466",0.738729810970643,0.411545222894403,0.3469557540023047,0.66,"height","height",0.015313288541006442,11,"fuel",1585077449183,1585077457661
"6041466",0.43059152300704717,0.4331011382914378,0.6740390318530767,0.53,"height","color",-0.06069188999734981,12,"fuel",1585077459165,1585077466132
"6041466",0.43059152300704717,0.4331011382914378,0.6740390318530767,0.58,"height","color",-0.039036833082777944,12,"fuel",1585077467633,1585077469973
"6041466",0.4280853186009488,0.7161562065524174,0.4540535781329338,0.5,"color","height",0.16370443261927095,13,"fuel",1585077471478,1585077483190
"6041466",0.4280853186009488,0.7161562065524174,0.4540535781329338,0.27,"color","height",-0.0010114948877850416,13,"fuel",1585077484692,1585077486620
"6041466",0.8394384206109735,0.9473071242925282,0.2321009374202223,0.4,"color","height",0.18408840538665347,14,"fuel",1585077488124,1585077492388
"6041466",0.8394384206109735,0.9473071242925282,0.2321009374202223,0.23,"color","height",0.02304619425692367,14,"fuel",1585077493892,1585077497062
