ppntID,base1,base2,fuel1,fuel2,fueltype1,fueltype2,choice_base,choice_fuel,choice_fueltype,questiontype,drawtime,responsetime
1,0.2150062122,0.1391417375,0.7089176318,0.4689176318,color,color,0.2150062122,0.7089176318,color,Which rocket has the best fuel?,1575340233077,1575340234186
1,0.6931402267,0.1155598754,0.7256775012,0.7856775012,color,height,0.1155598754,0.7856775012,height,Which rocket has the best fuel?,1575340235691,1575340238358
1,0.2308887696,0.2470871921,0.6368636191,0.8168636191,color,height,0.2470871921,0.8168636191,height,Which rocket has the best fuel?,1575340239863,1575340242637
1,0.1157549272,0.6160357074,0.0766003203,0.5638618015,height,height,0.6160357074,0.5638618015,height,Which rocket has the best distance?,1575340246832,1575340251457
1,0.4510961177,0.2408022466,0.1831644809,0.9133998995,color,color,0.2408022466,0.9133998995,color,Which rocket has the best distance?,1575340252963,1575340257876
1,0.6464055629,0.7717371426,0.4698917222,0.2450195418,height,color,0.7717371426,0.2450195418,color,Which rocket has the best distance?,1575340259379,1575340265772
1,0.9114127567,0.3985461391,0.8063616226,0.857865928,color,color,0.3985461391,0.857865928,color,Which rocket has the best distance?,1575340267277,1575340268884
1,0.486581007,0.4161949737,0.2861050352,0.4157215803,height,height,0.4161949737,0.4157215803,height,Which rocket has the best distance?,1575340270389,1575340271462
1,0.2985919985,0.070233692,0.4048184773,0.9453145866,color,color,0.2985919985,0.4048184773,color,Which rocket has the best distance?,1575340272967,1575340290623
1,0.3236498226,0.1408587965,0.0445576182,0.29670806,color,height,0.1408587965,0.29670806,height,Which rocket has the best distance?,1575340292127,1575340295345
1,0.1334193626,0.1427844585,0.7412269447,0.8673121438,color,height,0.1334193626,0.7412269447,color,Which rocket has the best distance?,1575340296850,1575340298816
1,0.6296592654,0.0398553122,0.9193118572,0.2351115301,color,height,0.6296592654,0.9193118572,color,Which rocket has the best distance?,1575340300322,1575340301480
1,0.7792538584,0.2937483448,0.2043699727,0.2324044445,color,color,0.7792538584,0.2043699727,color,Which rocket has the best distance?,1575340302987,1575340305594
1,0.3064941309,0.7032441253,0.8914132367,0.3972239071,height,height,0.3064941309,0.8914132367,height,Which rocket has the best distance?,1575340307108,1575340308236
1,0.1437492883,0.1469461848,0.4346082282,0.2717518637,height,height,0.1437492883,0.4346082282,height,Which rocket has the best distance?,1575340309741,1575340312292
1,0.3363074608,0.0790325802,0.2147809617,0.4135763697,color,height,0.3363074608,0.2147809617,color,Which rocket has the best distance?,1575340313797,1575340316115
1,0.849633744,0.3489867361,0.5577478308,0.4289125477,height,height,0.849633744,0.5577478308,height,Which rocket has the best distance?,1575340317620,1575340319191
1,0.4549819108,0.6950564725,0.1259217658,0.7700441923,color,height,0.6950564725,0.7700441923,height,Which rocket has the best distance?,1575340320701,1575340322669
1,0.3264173844,0.4709758501,0.5245819469,0.8897173657,height,height,0.4709758501,0.8897173657,height,Which rocket has the best distance?,1575340324173,1575340325153
1,0.4374667731,0.4989051081,0.2006535977,0.4422034238,height,color,0.4989051081,0.4422034238,color,Which rocket has the best distance?,1575340326655,1575340329161
1,0.2547740869,0.3812843427,0.9239289632,0.763855747,color,color,0.2547740869,0.9239289632,color,Which rocket has the best distance?,1575340330666,1575340332646
1,0.6246238252,0.9625838741,0.2057569832,0.6284738833,color,color,0.9625838741,0.6284738833,color,Which rocket has the best distance?,1575340334151,1575340338273
1,0.8099043482,0.8025084888,0.8021166445,0.1375249779,color,color,0.8099043482,0.8021166445,color,Which rocket has the best distance?,1575340339778,1575340341551
1,0.7855037414,0.8929240371,0.2494103926,0.582563566,height,height,0.8929240371,0.582563566,height,Which rocket has the best distance?,1575340343056,1575340344614
1,0.9841751609,0.9020408159,0.7416193299,0.51222548,color,color,0.9841751609,0.7416193299,color,Which rocket has the best distance?,1575340346119,1575340347692
1,0.3178367659,0.3408063606,0.5303870422,0.9412928998,height,height,0.3408063606,0.9412928998,height,Which rocket has the best distance?,1575340349196,1575340350890
1,0.1660775401,0.9985338661,0.7059814574,0.9712784429,color,height,0.9985338661,0.9712784429,height,Which rocket has the best distance?,1575340352395,1575340354161
1,0.3170371202,0.8459811175,0.00488407,0.4448793091,color,color,0.8459811175,0.4448793091,color,Which rocket has the best distance?,1575340355667,1575340365081
1,0.6901379179,0.7043898651,0.8842443175,0.4444471762,height,color,0.7043898651,0.4444471762,color,Which rocket has the best distance?,1575340366588,1575340367709
1,0.9528785687,0.0674892919,0.4724774436,0.8284881558,height,color,0.9528785687,0.4724774436,height,Which rocket has the best distance?,1575340369217,1575340371100
1,0.9835408101,0.3080744971,0.8945260059,0.522675944,height,height,0.9835408101,0.8945260059,height,Which rocket has the best distance?,1575340372603,1575340380077
1,0.6471574175,0.8448275954,0.9607075883,0.9819521509,height,height,0.8448275954,0.9819521509,height,Which rocket has the best distance?,1575340381597,1575340384925
1,0.6886768134,0.8741342865,0.7345527447,0.3915690726,color,color,0.6886768134,0.7345527447,color,Which rocket has the best distance?,1575340386429,1575340388711
2,0.6603324624,0.3903324624,0.7716812819,0.0141739301,height,height,0.6603324624,0.7716812819,height,Which rocket has the best base?,1575341221868,1575341223584
2,0.8498918056,0.9098918056,0.2457594813,0.0793769362,color,color,0.8498918056,0.2457594813,color,Which rocket has the best base?,1575341225101,1575341225225
2,0.7339184636,0.8539184636,0.6049147908,0.348761142,color,height,0.7339184636,0.6049147908,color,Which rocket has the best base?,1575341226732,1575341226860
2,0.6003016366,0.6903016366,0.2314076554,0.2533687298,height,height,0.6003016366,0.2314076554,height,Which rocket has the best base?,1575341228365,1575341228481
2,0.3319307173,0.6319307173,0.6088638665,0.2320373129,height,color,0.3319307173,0.6088638665,height,Which rocket has the best base?,1575341229986,1575341230166
2,0.6820817689,0.7120817689,0.783463154,0.8622017127,height,height,0.6820817689,0.783463154,height,Which rocket has the best base?,1575341231673,1575341231800
2,0.0886541909,0.2986541909,0.4865945336,0.9231281563,height,color,0.0886541909,0.4865945336,height,Which rocket has the best base?,1575341233305,1575341234436
2,0.1572542664,0.3072542664,0.6183150753,0.9764483123,height,color,0.1572542664,0.6183150753,height,Which rocket has the best base?,1575341235957,1575341237286
2,0.5606484745,0.3206484745,0.572108491,0.8316675588,color,color,0.5606484745,0.572108491,color,Which rocket has the best base?,1575341238790,1575341239791
2,0.9720282319,0.7920282319,0.1652584498,0.7676828539,height,height,0.9720282319,0.1652584498,height,Which rocket has the best base?,1575341241299,1575341241442
2,0.1312242274,0.3160719274,0.6434427219,0.7334427219,color,color,0.3160719274,0.7334427219,color,Which rocket has the best fuel?,1575341245799,1575341248203
2,0.9469552198,0.2381527254,0.588686825,0.828686825,height,height,0.2381527254,0.828686825,height,Which rocket has the best fuel?,1575341249708,1575341249786
2,0.8563038926,0.0883483124,0.6247910966,0.9247910966,height,height,0.0883483124,0.9247910966,height,Which rocket has the best fuel?,1575341251291,1575341251385
2,0.7010754844,0.6998559153,0.1583318995,0.4283318995,color,height,0.6998559153,0.4283318995,height,Which rocket has the best fuel?,1575341252890,1575341253027
2,0.9404198579,0.4802165563,0.3449255771,0.2249255771,height,height,0.4802165563,0.2249255771,height,Which rocket has the best fuel?,1575341254532,1575341254641
2,0.526236765,0.7056704046,0.2347003067,0.2647003067,color,color,0.7056704046,0.2647003067,color,Which rocket has the best fuel?,1575341256147,1575341256184
2,0.1628007779,0.9222100663,0.1418516252,0.4118516252,color,color,0.9222100663,0.4118516252,color,Which rocket has the best fuel?,1575341257687,1575341257712
2,0.7956453287,0.3520002273,0.895019412,0.835019412,height,height,0.3520002273,0.835019412,height,Which rocket has the best fuel?,1575341259217,1575341259318
2,0.477758639,0.1291085267,0.5306659875,0.2606659875,height,height,0.1291085267,0.2606659875,height,Which rocket has the best fuel?,1575341260823,1575341261009
2,0.4383487289,0.9352939766,0.6627827657,0.7827827657,height,color,0.9352939766,0.7827827657,color,Which rocket has the best fuel?,1575341262514,1575341262709
2,0.6422500552,0.8241850679,0.2734540893,0.4534540893,height,color,0.8241850679,0.4534540893,color,Which rocket has the best fuel?,1575341264214,1575341264386
2,0.1586707127,0.6452350787,0.7472160213,0.9272160213,color,color,0.6452350787,0.9272160213,color,Which rocket has the best fuel?,1575341265890,1575341265894
2,0.9678563955,0.9498654068,0.6744037151,0.5244037151,height,color,0.9498654068,0.5244037151,color,Which rocket has the best fuel?,1575341267398,1575341267507
2,0.9737181187,0.826770135,0.9599572799,0.6599572799,height,color,0.826770135,0.6599572799,color,Which rocket has the best fuel?,1575341269011,1575341269013
2,0.3277312105,0.9635812778,0.7744225779,0.8044225779,height,color,0.9635812778,0.8044225779,color,Which rocket has the best fuel?,1575341270518,1575341270708
2,0.4249753894,0.3488803899,0.4420678072,0.2320678072,color,color,0.3488803899,0.2320678072,color,Which rocket has the best fuel?,1575341272214,1575341272554
2,0.1469291476,0.8418558986,0.120932932,0.000932932,color,color,0.8418558986,0.000932932,color,Which rocket has the best fuel?,1575341274060,1575341274267
2,0.0563363929,0.2165599334,0.6093522684,0.7893522684,height,height,0.2165599334,0.7893522684,height,Which rocket has the best fuel?,1575341275771,1575341275897
2,0.0915238279,0.911994921,0.5784219508,0.3684219508,color,height,0.911994921,0.3684219508,height,Which rocket has the best fuel?,1575341277404,1575341277417
2,0.6436151289,0.1448690674,0.8553587523,0.9453587523,height,color,0.1448690674,0.9453587523,color,Which rocket has the best fuel?,1575341278922,1575341279145
2,0.0240225673,0.9728759729,0.8057224512,0.7457224512,color,height,0.9728759729,0.7457224512,height,Which rocket has the best fuel?,1575341280649,1575341280794
2,0.4255471454,0.7494779867,0.4168684374,0.6268684374,height,height,0.7494779867,0.6268684374,height,Which rocket has the best fuel?,1575341282299,1575341282387
2,0.5492277484,0.2160906133,0.0366635003,0.3366635003,color,color,0.2160906133,0.3366635003,color,Which rocket has the best fuel?,1575341283892,1575341284164
2,0.3975664931,0.5686865513,0.6326290149,0.6026290149,height,height,0.5686865513,0.6026290149,height,Which rocket has the best fuel?,1575341285670,1575341285878
2,0.5999711926,0.8443086106,0.4649198709,0.2249198709,color,height,0.8443086106,0.2249198709,height,Which rocket has the best fuel?,1575341287382,1575341287462
